OP,A1,A2,A3,A4,A5
-,647,0,0,0,0
+,3047,8144,8788,2436,9504
+,3560,4049,3144,8404,8094
+,9932,2040,8334,1120,8014
-,2821,0,0,0,0
+,9676,9912,1776,656,2958
+,3020,1618,2674,9776,5946
+,2312,9733,5858,7581,4696
+,7145,6056,8640,9348,9304
+,2306,4905,4111,25,563
+,6192,9643,3087,1111,3329
-,1685,0,0,0,0
-,7411,0,0,0,0
-,9751,0,0,0,0
-,2059,0,0,0,0
+,667,3212,5085,7445,377
+,3285,865,8292,4889,8787
-,1477,0,0,0,0
+,238,7591,2741,5755,5346
-,866,0,0,0,0
-,6345,0,0,0,0
+,5131,6117,9181,3133,9903
+,6843,9381,6778,3991,9133
-,5226,0,0,0,0
+,7682,7481,6844,3588,7343
+,6634,1049,9331,3568,2834
+,5802,1448,6694,6252,1135
+,4878,1448,1346,9549,8732
+,6416,8611,3003,7343,3297
+,8987,2346,7540,9307,6788
-,7803,0,0,0,0
-,2395,0,0,0,0
-,2503,0,0,0,0
+,6280,8278,4253,4483,5339
+,4077,5997,1850,3016,6136
-,3443,0,0,0,0
-,2145,0,0,0,0
-,2167,0,0,0,0
-,4764,0,0,0,0
+,9976,3837,3399,2910,4724
+,564,6739,3794,5559,406
+,8999,544,7536,9217,8936
+,2157,4854,2016,6022,3531
-,9816,0,0,0,0
-,2900,0,0,0,0
+,1738,5415,7244,5003,9520
-,1436,0,0,0,0
-,1391,0,0,0,0
-,8930,0,0,0,0
-,7672,0,0,0,0
+,9247,7316,819,9635,6553
+,5282,6653,8211,305,5738
+,6689,9508,8089,3471,3515
-,3787,0,0,0,0
+,1645,1512,8293,8213,6693
-,7473,0,0,0,0
-,421,0,0,0,0
+,3517,5547,1276,1289,2772
-,707,0,0,0,0
+,7516,9551,4584,619,9418
-,554,0,0,0,0
+,9927,684,6048,3112,8837
-,2244,0,0,0,0
+,9780,4232,1855,180,5561
+,8055,5114,3238,8253,7952
+,9736,4640,6778,7616,2471
-,97,0,0,0,0
+,9012,1537,9540,2851,5876
+,611,8023,4128,5657,1916
-,6946,0,0,0,0
-,529,0,0,0,0
-,6656,0,0,0,0
-,218,0,0,0,0
+,4594,9695,2472,3758,5655
-,7991,0,0,0,0
-,3836,0,0,0,0
+,7477,775,4445,4539,6227
+,4752,5628,732,2143,147
-,8875,0,0,0,0
-,2369,0,0,0,0
-,4887,0,0,0,0
-,1502,0,0,0,0
-,1436,0,0,0,0
+,9934,1380,5643,4866,7492
+,6366,3725,7018,5618,8698
+,6743,4954,2920,8506,5145
+,2717,901,9327,3706,6450
-,9026,0,0,0,0
-,6636,0,0,0,0
-,8453,0,0,0,0
-,1782,0,0,0,0
-,3592,0,0,0,0
+,9985,1760,6873,4172,9774
-,3975,0,0,0,0
+,3241,7783,3366,5928,5866
-,1638,0,0,0,0
-,4123,0,0,0,0
-,2892,0,0,0,0
+,4051,2628,667,8994,4176
+,832,2077,6177,2329,8153
+,930,8468,8869,5611,2355
+,598,3989,6323,141,1571
